Fund,Name,Ticker,Identifier,SEDOL,Weight,Sector,SharesHeld,LocalCurrency
SPY,PACCARInc,PCAR,69371810,2665861,0.084288,Industrials,3593841,USD
SPY,D.R.HortonInc.,DHI,23331A10,2250687,0.084023,ConsumerDiscretionary,3427356,USD
SPY,SVBFinancialGroup,SIVB,78486Q10,2808053,0.084016,Financials,563073,USD
SPY,McKessonCorporation,MCK,58155Q10,2378534,0.083799,HealthCare,1646578,USD
SPY,PublicServiceEnterpriseGroupInc,PEG,74457310,2707677,0.083253,Utilities,5232029,USD
SPY,ANSYSInc.,ANSS,03662Q10,2045623,0.082597,InformationTechnology,895358,USD
SPY,FastenalCompany,FAST,31190010,2332262,0.081806,Industrials,5948943,USD
SPY,WillisTowersWatsonPublicLimitedCompany,WLTW,G9662910,BDB6Q21,0.081509,Financials,1335834,USD
SPY,StateStreetCorporation,STT,85747710,2842040,0.080656,Financials,3642867,USD
SPY,EquifaxInc.,EFX,29442910,2319146,0.080373,Industrials,1261657,USD
SPY,AvalonBayCommunitiesInc.,AVB,5348410,2131179,0.080359,RealEstate,1445173,USD
SPY,AmeripriseFinancialInc.,AMP,03076C10,B0J7D57,0.080153,Financials,1208977,USD
SPY,CBREGroupInc.ClassA,CBRE,12504L10,B6WVMH3,0.080058,RealEstate,3476507,USD
SPY,KrogerCo.,KR,50104410,2497406,0.079417,ConsumerStaples,7884991,USD
SPY,NucorCorporation,NUE,67034610,2651086,0.078812,Materials,3087075,USD
SPY,ArthurJ.Gallagher&Co.,AJG,36357610,2359506,0.07879,Financials,2124227,USD
SPY,VeriskAnalyticsInc,VRSK,92345Y10,B4P9W92,0.07875,Industrials,1686251,USD
SPY,KeysightTechnologiesInc,KEYS,49338L10,BQZJ0Q9,0.078165,InformationTechnology,1927035,USD
SPY,ZebraTechnologiesCorporationClassA,ZBRA,98920710,2989356,0.077859,InformationTechnology,554038,USD
SPY,WECEnergyGroupInc,WEC,92939U10,BYY8XK8,0.077839,Utilities,3267329,USD
SPY,DeltaAirLinesInc.,DAL,24736170,B1W9D46,0.077234,Industrials,6610684,USD
SPY,AmericanWaterWorksCompanyInc.,AWK,3042010,B2R3PV1,0.07723,Utilities,1879380,USD
SPY,CopartInc.,CPRT,21720410,2208073,0.076491,Industrials,2154272,USD
SPY,LennarCorporationClassA,LEN,52605710,2511920,0.076449,ConsumerDiscretionary,2843598,USD
SPY,MaximIntegratedProductsInc.,MXIM,57772K10,2573760,0.075677,InformationTechnology,2776400,USD
SPY,OccidentalPetroleumCorporation,OXY,67459910,2655408,0.075382,Energy,8684788,USD
SPY,FifthThirdBancorp,FITB,31677310,2336747,0.075356,Financials,7363969,USD
SPY,EversourceEnergy,ES,30040W10,BVVN4Q8,0.074946,Utilities,3552818,USD
SPY,ViacomCBSInc.ClassB,VIAC,92556H20,BKTNTR9,0.074545,CommunicationServices,6278349,USD
SPY,LaboratoryCorporationofAmericaHoldings,LH,50540R40,2586122,0.074253,HealthCare,1011216,USD
SPY,BallCorporation,BLL,5849810,2073022,0.07392,Materials,3396599,USD
SPY,WestPharmaceuticalServicesInc.,WST,95530610,2950482,0.073567,HealthCare,767223,USD
SPY,EquityResidential,EQR,29476L10,2319157,0.073195,RealEstate,3551656,USD
SPY,V.F.Corporation,VFC,91820410,2928683,0.073176,ConsumerDiscretionary,3326075,USD
SPY,LyondellBasellIndustriesNV,LYB,N5374510,B3SPXZ3,0.072829,Materials,2665195,USD
SPY,SynchronyFinancial,SYF,87165B10,BP96PS6,0.072614,Financials,5625191,USD
SPY,KraftHeinzCompany,KHC,50075410,BYRY499,0.071821,ConsumerStaples,6715210,USD
SPY,GeneracHoldingsInc.,GNRC,36873610,B6197Q2,0.071102,Industrials,651111,USD
SPY,BestBuyCo.Inc.,BBY,8651610,2094670,0.071034,ConsumerDiscretionary,2310915,USD
SPY,KansasCitySouthern,KSU,48517030,2607647,0.070819,Industrials,941316,USD
SPY,WeyerhaeuserCompany,WY,96216610,2958936,0.070239,RealEstate,7745664,USD
SPY,HersheyCompany,HSY,42786610,2422806,0.069643,ConsumerStaples,1517866,USD
SPY,EtsyInc.,ETSY,29786A10,BWTN5N1,0.069445,ConsumerDiscretionary,1317749,USD
SPY,ONEOKInc.,OKE,68268010,2130109,0.069317,Energy,4609504,USD
SPY,RealtyIncomeCorporation,O,75610910,2724193,0.068499,RealEstate,3867606,USD
SPY,AlexandriaRealEstateEquitiesInc.,ARE,1527110,2009210,0.068472,RealEstate,1422251,USD
